Org Name,Primary Segment,Secondary Segments,Focus,Description,Funding Model,Funding Detail,Website,Problem Area,Problem Topic
Minnesota IT Services (MNIT),Government,,State,"Enterprise IT agency serving 70+ Minnesota executive agencies and 87 counties. Launched LoginMN single sign-on, hired the state's first AI Director, and migrated 50%+ of servers to cloud. Its Technology Advisory Council guides AI, customer experience, and product-driven delivery.",Government,State IT enterprise fund (chargeback model) + MN general fund appropriations,mn.gov/mnit,"Technology & Data,Domains","Legacy Systems,Data Integration,Data Security,AI in Government"
New Hampshire Department of Information Technology (DoIT),Government,,State,Centralized state IT agency led by Commissioner/CIO Denis Goulet (NASCIO Decade of Leadership Award 2025; NASCIO President 2020) - one of the few CIOs to serve across three governors. Redesigned all state websites and apps for constituent usability; launched a statewide business portal; built the VINI vaccine registration system during COVID-19; and launched '.Gov In a Box' providing funding and contractor support to help local governments migrate to .gov domains. Pursuing whole-of-state cybersecurity and agile/MVP methodologies with agency partners.,Government,NH state general fund + federal SLCGP cybersecurity grants,nh.gov/doit,"Technology & Data,Procurement & Operations,Service Delivery,Domains","Legacy Systems,Data Security,Operational Excellence,Service Design,AI in Government"
New Jersey Office of Innovation,Government,Capacity Building,State,"State innovation office (~50+ staff) building digital products (Business.NJ.gov, NJ AI Assistant) and providing product management, human-centered design, and data science to NJ agencies.",Government,State general fund,innovation.nj.gov,"Service Delivery,Domains","Service Design,AI in Government,Benefits Access"
New York State (ITS),Government,,State,NY Office of Information Technology Services. Among 17+ states with official digital service teams per Beeck Center. Partnership with InnovateUS rolling out AI to 100K+ city employees.,Government,State general fund,its.ny.gov,"Technology & Data,Domains","Legacy Systems,Data Security,AI in Government"
North Carolina Digital Solutions,Government,,State,"State digital services team within NC Department of Information Technology, operational since 2015.",Government,State general fund,it.nc.gov,"Technology & Data,Service Delivery","Legacy Systems,Service Design"
NYC Office of Technology and Innovation (OTI),Government,,City,"New York City's consolidated technology agency, formed in 2022 by merging DoITT, the CTO office, Cyber Command, MODA, and the privacy office. Roughly 1,200 staff, a ~$350M operating budget, and a ~$1B capital budget; runs NYC311, MyCity, and the open data program. CTO Lisa Gelobter appointed by Mayor Mamdani in Feb 2026.",Government,NYC city budget (operating + capital appropriations),nyc.gov/content/oti/pages,"Technology & Data,Service Delivery,Domains","Data Security,Data Integration,Service Design,AI in Government,Broadband & Internet Connectivity"
Orlando Digital Innovation and Service Design Team,Government,,City,"Digital innovation and service design team within the City of Orlando IT department, operational since 2018. Verified active.",Government,City budget,orlando.gov,"Procurement & Operations,Service Delivery","Operational Excellence,Service Design"
Philadelphia Digital Services,Government,,City,"City digital team providing UX research, content strategy, and digital form development using USWDS.",Government,City budget,phila.gov,Service Delivery,"Benefits Access,Service Design"
Portland Digital Services (BTS),Government,,City,Digital services team delivering human-centered design and plain language improvements. Won 2025 USDR Innovation in Constraints award.,Government,City budget,portland.gov/digital-services,"Procurement & Operations,Service Delivery","Regulatory & Administrative Burden,Service Design"
Presidential Innovation Fellows (PIF),Government,Fellowships,Federal,"Places mid-to-senior technologists in federal agencies for 12-month tours in product, AI strategy, design, and engineering (est. 2012; 260+ alumni). GSA named a 2026 cohort of 17 fellows serving 10 agencies.",Government,GSA/TTS appropriations,presidentialinnovationfellows.gov,"Talent & Hiring,Domains,Procurement & Operations","Expert Contribution,AI in Government,Procurement Reform,Talent Pipeline"
Rhode Island Enterprise Technology Strategy and Services (ETSS),Government,,State,Rhode Island enterprise technology and digital services team. Active 2024-2026 strategic plan.,Government,State general fund,etss.ri.gov,"Technology & Data,Service Delivery","Legacy Systems,Benefits Access,Service Design"
San Diego Digital Experience Team,Government,,City,Digital experience team for the County of San Diego. Verified active with 1-5 FTE and 1 million budget.,Government,County budget,sandiegocounty.gov,"Procurement & Operations,Service Delivery","Operational Excellence,Service Design"
San Francisco Digital and Data Services (DDS),Government,,City,"Human-centered digital service team within the City Administrator's office. Manages SF.gov - the unified city web platform with 80+ departments migrated - applying equitable design standards, plain language requirements, and the City's Language Access Ordinance. Launched an Emerging Technologies team in November 2024 that piloted ChatGPT Enterprise with OpenAI and deployed Microsoft Copilot Chat to 30,000 city staff, establishing SF as a national leader in public sector AI adoption.",Government,City and County of San Francisco budget; COIT Major IT Project Allocation,sf.gov/departments--city-administrator--digital-and-data-services,"Participatory Democracy,Procurement & Operations,Domains,Service Delivery","Transparency & Accountability,Regulatory & Administrative Burden,AI in Government,Service Design"
San Jose Innovation & IT,Government,Research,City,"City innovation team running data governance, AI strategy development, and employee upskilling. Leads GovAI coalition.",Government,City budget + Knight Foundation partnership,sanjoseca.gov,"Technology & Data,Procurement & Operations,Domains","Data Integration,Operational Excellence,AI in Government"
Seattle Information Technology (Seattle IT),Government,,City,"City of Seattle enterprise technology department (633+ staff, ~$280M operating budget). Its 2025-2027 Strategic Plan ties technology to public safety, housing, and health; launched Eproval permitting and the One Seattle Data Strategy. Runs the long-standing Technology Matching Fund digital equity grants.",Government,City of Seattle general fund + capital budget,seattle.gov/tech,"Technology & Data,Domains,Service Delivery","Legacy Systems,Data Security,Permitting & Licensing,Service Design"
South Bend Division of Digital Services,Government,,City,"Digital services team for the City of South Bend, Indiana. Established 2024. Verified active.",Government,City budget,southbendin.gov,"Test & Learn,Service Delivery","Feedback Loops,Service Design"
Syracuse Digital Services Division,Government,,City,"Digital services division for the City of Syracuse, New York. Established 2022 with 6-10 FTE.",Government,City budget,syrgov.net,"Participatory Democracy,Service Delivery","Transparency & Accountability,Benefits Access,Service Design"
Technology Modernization Fund (TMF),Government,,Federal,"Federal revolving fund (Modernizing Government Technology Act, 2017) administered by GSA that provides milestone-based, repayable financing to agencies for IT modernization. Has funded 70+ projects across 34 agencies. Authorization lapsed Dec 2025 and was restored only through Sept 30, 2026; continuation depends on pending reauthorization (H.R. 2985).",Government,Congressional appropriations ($5M FY26); agencies repay awards from savings and efficiencies generated,tmf.cio.gov,"Technology & Data,Procurement & Operations,Domains","Legacy Systems,AI in Government,Shared Platforms,Data Security,Procurement Reform"
The Lab at OPM,Government,,Federal,Defunct (Apr 2025). Former OPM innovation lab (2012-2025) that pioneered human-centered design in the federal government and built HCD capacity across agencies.,Government (defunct),Federal appropriations (OPM); closed April 2025,opm.gov,"Talent & Hiring,Service Delivery","Hiring Process,Hiring Architecture,Service Design"
U.S. Digital Corps,Government,Fellowships,Federal,"Two-year early-career federal fellowship (est. 2021) in software, data, product, design, and cybersecurity, run by GSA TTS; earlier cohorts converted to career positions at high rates. Paused: no 2025 cohort was hired due to the federal hiring freeze, and the last cohort (2024) completes in 2026.",Government,GSA/TTS appropriations,digitalcorps.gsa.gov,"Talent & Hiring,Domains,Technology & Data","Talent Pipeline,AI in Government,Hiring Process,Hiring Architecture,Data Security"
U.S. DOGE Service (fmr. USDS),Government,,Federal,"Formerly the U.S. Digital Service; renamed and reorganized under the DOGE executive order in Jan 2025, shifting its user-centered delivery mission toward software modernization. The DOGE temporary organization inside it ended July 4, 2026, but USDS continues, reporting about 90 staff and growing as of Apr 2026.",Government,Congressional appropriations (EOP); FY26 request $45M/150 staff,usds.gov,"Procurement & Operations,Technology & Data","Operational Excellence,Regulatory & Administrative Burden,Legacy Systems"
U.S. Tech Force (OPM),Government,Fellowships,Federal,"OPM cross-agency hiring program launched Dec 2025 to place about 1,000 early-career technologists per year in federal agencies for 1-2 year terms in AI, cybersecurity, data, and software. Private sector partners include Microsoft, Google, Meta, OpenAI, and 20+ others; NobleReach Foundation is the founding nonprofit partner.",Government,Federal agency appropriations; centrally administered by OPM,opm.gov,"Talent & Hiring,Domains,Technology & Data","Talent Pipeline,Hiring Architecture,AI in Government,Data Security"
Utah Digital Government,Government,,State,"Utah's statewide digital government program. Launched a state digital ID (40K adopters in its first 3 months) and a personalized resident portal, and provides cybersecurity support to 100+ local entities.",Government,UT state + federal cyber grants,utah.gov,"Technology & Data,Service Delivery","Data Security,Service Design,Benefits Access,Legacy Systems"
Vermont Agency of Digital Services,Government,,State,Vermont statewide digital services agency. Active 2024 strategic plan.,Government,State general fund,digitalservices.vermont.gov,"Technology & Data,Service Delivery","Legacy Systems,Service Design"
Washington Technology Solutions (WaTech),Government,,State,"Washington State's central IT agency leading the Digital Experience program including a Resident Portal roadmap for unified digital access across agencies, an AI Community of Practice, the state's first-ever Enterprise Privacy and Data Protection Policy, and AI Procurement Guidelines for legislative decision-making. Developed 16 new government websites in 2024. Published 2024-2026 strategic plan; new CTO Gretchen Peri appointed September 2025.",Government,WA state general fund + federal State and Local Cybersecurity Grant Program funds,watech.wa.gov,"Technology & Data,Domains,Service Delivery","Data Integration,Data Security,AI in Government,Service Design"
120Water,GovTech,,"Federal,State,City","Platform helping water utilities and agencies manage water safety testing, lead service line inventories, and EPA compliance, serving 1,300+ communities in 45+ states. Demand is driven by EPA Lead and Copper Rule Improvements requirements.",VC-backed; Growth stage,"$57.6M total raised; $43M Series B (Jan 2024) led by Edison Partners; 1,300+ communities served",120water.com,"Domains,Technology & Data,Procurement & Operations","Physical Infrastructure,Public Health,Data Integration,Regulatory & Administrative Burden"
Binti,GovTech,,"State,City","Software for child welfare agencies managing foster care approvals, placements, and adoptions. Reduces paperwork and accelerates family matching. Sells directly to county and state child welfare departments.",VC-backed; Growth stage,Y Combinator (W17) + follow-on; $27M+ total raised,binti.com,"Domains,Service Delivery,Technology & Data,Procurement & Operations","Child Welfare,Service Design,Legacy Systems,Operational Excellence,Benefits Access"
Biobot Analytics,GovTech,,"Federal,State,City",Wastewater epidemiology platform helping government public health agencies monitor disease prevalence at population level. MIT-origin. Contracts with CDC and local health departments.,VC-backed; Growth stage,Y Combinator + $20M Series A (2022); $30M+ total raised; CDC contracts,biobot.io,"Domains,Test & Learn,Technology & Data","Public Health,Crisis Response,Outcomes Measurement,Data Integration"
Bloom Housing (Exygy),GovTech,Digital Services & Consulting,"State,City","Open-source affordable housing portal built and stewarded by Exygy (B Corp), sold to city, county, and regional housing agencies. Powers DAHLIA (San Francisco) and Doorway (Bay Area Housing Finance Authority), handling lotteries, applications, waitlists, and reporting.",Earned Revenue,Government agency contracts (primary); Google.org pro bono support for specific deployments,bloomhousing.com,"Domains,Service Delivery,Participatory Democracy,Technology & Data","Housing & Land Use,Service Design,Transparency & Accountability,Benefits Access,Data Integration"
Cambium AI,GovTech,,"Federal,State,City","Population intelligence platform that integrates Census, IRS, CDC, housing, labor, and migration datasets into statistically grounded population models. Helps government and policy teams anticipate how populations will respond to programs before rollout. No PII; verified public data only.",Private,Private angel round,cambium.ai,"Technology & Data,Test & Learn","Data Integration,Evidence Use,Outcomes Measurement"
Casebook PBC,GovTech,Digital Services & Consulting,"State,City","Public benefit corporation, originally incubated by the Annie E. Casey Foundation, building case management software for child welfare, foster care, juvenile justice, and behavioral health agencies. 350+ customers; KPMG alliance for CCWIS modernization.",Earned Revenue,SaaS subscription revenue from government agencies and nonprofits; originally incubated by Annie E. Casey Foundation,casebook.net,"Domains,Service Delivery,Technology & Data","Child Welfare,Service Design,Legacy Systems,Benefits Access,Criminal Justice"
Civic,GovTech,,"Federal,State,City","AI-native platform for government constituent communications, casework management, and institutional knowledge. Serves congressional offices and state and local governments. Veteran-owned; seed-stage.",VC-backed,"Pre-seed $1.3M from Analog Ventures, Center City Ventures, Wharton Venture Lab, Flybridge",get-civic.com,"Technology & Data,Domains,Procurement & Operations","AI in Government,Operational Excellence,Data Integration"
Civic Roundtable,GovTech,,Federal,"Operations platform for public servants that consolidates communication, documents, CRM, and AI-assisted knowledge retrieval for interagency work. Used by 4,000+ organizations across all 50 states. Founded 2022; backed by General Catalyst.",Private,"General Catalyst (5M seed, 2024)",civicroundtable.com,"Domains,Procurement & Operations,Technology & Data","AI in Government,Operational Excellence,Data Integration"
CivicReach,GovTech,,"State,City",AI-powered government customer service platform automating resident inquiries and improving service delivery across multiple channels.,VC-backed; Seed stage,"$310K raised; NC Tweener Fund, Flybridge, NC Idea; founded 2024",civicreach.com,"Service Delivery,Domains,Procurement & Operations,Test & Learn","Service Design,AI in Government,Operational Excellence,Feedback Loops"
CiviForm,GovTech,,"State,City","Open-source benefits application platform built by the City of Seattle with Google.org Fellows and Exygy, now used by Seattle, Charlotte, Bloomington IN, Arkansas, and Miami-Dade. Residents apply for multiple programs at once (average time cut from 30 to 7 minutes) while agencies author forms in a no-code tool without vendor lock-in. Governed by adopting governments and stewarded by Exygy.",Philanthropy,Google.org grant funding to Exygy; free and open-source for adopting governments; Seed/Early stage,civiform.us,"Service Delivery,Participatory Democracy,Test & Learn,Technology & Data","Service Design,Benefits Access,Transparency & Accountability,Scaling What Works,Shared Platforms"
Cyvl.ai,GovTech,,"State,City","Vehicle-mounted sensors and AI software enabling governments to monitor and manage physical infrastructure. Transforms any vehicle into a data collection platform for road conditions, signage, and urban planning. Sells to DOTs and municipal public works departments.",VC-backed; Early stage,$9.2M total raised; $6M round (Mar 2024) led by Companyon Ventures; DOT and municipal clients,cyvl.ai,"Domains,Technology & Data,Procurement & Operations,Test & Learn","Physical Infrastructure,AI in Government,Data Integration,Operational Excellence,Outcomes Measurement"
Daupler,GovTech,,City,Response management platform for public works and utility departments replacing clipboard-based workflows with digital dispatch and field operations tools. Mobile-first interface for managing service requests and work orders. One of the fastest-growing govtech companies by traffic and employment growth (2023-2025).,VC-backed; Early stage,Undisclosed early-stage funding; high growth trajectory 2023-2025,daupler.com,"Domains,Procurement & Operations,Technology & Data","Physical Infrastructure,Crisis Response,Operational Excellence,Legacy Systems"
Democracy Works,GovTech,Advocacy,"Federal,State,City",Nonprofit building voting technology for election officials and voters. Voting Information Project (VIP) gives election offices a free platform to share official voting location and ballot data with voters through Google Civic API and major platforms. 40+ state and DC partners.,Philanthropy,"Ford Foundation, Knight Foundation, Democracy Fund; philanthropic grants",democracy.works,Participatory Democracy,"Democracy Infrastructure,Civic Engagement"
Digital Public Works,GovTech,,State,Nonprofit govtech founded by former USDS staff. Its first product is a consent-based income verification tool that lets benefits applicants share payroll data directly with state agencies; states are the primary customer.,"Government Contracts, Philanthropy",Government agency contracts; foundation grants,digitalpublicworks.org,"Procurement & Operations,Test & Learn,Participatory Democracy,Technology & Data,Service Delivery","Procurement Reform,Scaling What Works,Transparency & Accountability,Shared Platforms,Benefits Access"
GovWell,GovTech,,City,"Software for government permitting, licensing, and code enforcement, sold directly to local building, planning, fire, and public works departments. Serves 130+ municipalities and counties in 34 states as of 2026.",VC-backed; Early stage,"$34.5M total raised; $25M Series A (May 2026) led by Insight Partners; prior seed from Work-Bench, Bienville Capital, Fractal Software",govwell.com,"Domains,Service Delivery,Technology & Data,Procurement & Operations","Permitting & Licensing,Service Design,Legacy Systems,Housing & Land Use,Regulatory & Administrative Burden"
Holly,GovTech,,"State,City","AI-powered platform modernizing government hiring. Automates job description creation with 45,000+ templates, provides real-time salary benchmarking, and reduces government hiring cycles that average 135 days. Addresses ~1M vacant government positions nationwide.",VC-backed; Seed stage,"$2.2M pre-seed (Jan 2025) led by J2 Ventures; Roble Ventures, Gaingels",hollygov.com,"Talent & Hiring,Procurement & Operations","Hiring Process,Hiring Architecture,Talent Pipeline,Operational Excellence"
Marketplace.city,GovTech,,City,"Digital marketplace platform helping state and local governments source, validate, and procure technology solutions. Government procurement offices are the primary customer.",Private,VC-backed (seed stage),marketplace.city,"Procurement & Operations,Test & Learn","Procurement Reform,Scaling What Works,Operational Excellence"
PayIt,GovTech,,"State,City","Digital payments and services platform for resident transactions with government (DMV, property tax, utilities), funded by transaction fees often at no cost to the agency. Serves 100M+ residents in North America; GovTech 100 honoree seven years running.",VC-backed; Mature stage,"Insight Partners, Weatherford Capital; $190M+ total raised; transaction fee model",payit.com,"Service Delivery,Domains,Procurement & Operations","Service Design,Tax & Revenue,Benefits Access,Permitting & Licensing,Operational Excellence"
Peregrine Technologies,GovTech,,"State,City","Real-time data platform that helps public safety and government agencies unify siloed data for decisions across law enforcement, emergency response, and fraud detection. Serves agencies covering 80M+ Americans; supported multi-agency operations at Super Bowl LIX.",VC-backed; Growth stage,$220M total raised; $190M Series C (Mar 2025) led by Sequoia Capital at $2.5B valuation; prior $30M Series B (May 2024),peregrine.io,"Domains,Technology & Data,Procurement & Operations","Criminal Justice,AI in Government,Data Integration,Operational Excellence,Crisis Response"
Polco,GovTech,,"State,City","Community engagement and survey platform built for local government. Powers the National Community Survey (NCS) used by 600+ jurisdictions. Provides benchmarking data, resident polling, and budget simulation tools for city managers and elected officials.",VC-backed; Growth stage,National Research Center merger; $15M+ raised; 600+ jurisdictions using National Community Survey,polco.us,"Participatory Democracy,Test & Learn","Civic Engagement,Feedback Loops,Outcomes Measurement,Evidence Use,Scaling What Works"
Polimorphic,GovTech,,"Federal,State,City","AI platform for local government service delivery, from resident intake through resolution. Products include AI Front Desk (multilingual constituent service in 75+ languages), a Constituent Relationship Manager, and analytics; serves cities and counties in multiple states.",Private,VC-backed; $28M total raised including $18.6M Series A led by General Catalyst (2025); M13 and Shine also investors,polimorphic.ai,"Service Delivery,Domains,Procurement & Operations,Test & Learn","Service Design,AI in Government,Operational Excellence,Feedback Loops,Benefits Access"
Promise,GovTech,,"State,City","Modernizes government payment and collections systems, helping agencies recover revenue while giving residents flexible, humane payment options. Sells directly to government billing departments.",VC-backed; Growth stage,Y Combinator (S19) + follow-on; $30M+ total raised; government payment modernization,promise-pay.com,"Domains,Procurement & Operations,Service Delivery","Criminal Justice,Operational Excellence,Service Design,Tax & Revenue,Benefits Access"
Propel,GovTech,,State,Digital EBT platform and partner to state agencies.,VC-backed; Growth stage,$50M Series B (2022); ~$50M ARR,propel.app,"Service Delivery,Domains","Service Design,Benefits Access,AI in Government"
Recidiviz,GovTech,,State,"Data and technology platform for corrections agencies. Products include supervision tools, caseload management, and data infrastructure for state departments of corrections. Government is the primary paying customer.","Grants, Government Contracts","Arnold Ventures, Schmidt Futures; state agency contracts",recidiviz.org,"Domains,Technology & Data,Test & Learn,Procurement & Operations","Criminal Justice,Data Integration,Outcomes Measurement,AI in Government,Operational Excellence"
SimpliGov,GovTech,,"Federal,State,City","No-code workflow automation platform purpose-built for government, digitizing paper-based processes like licensing, permits, HR onboarding, and constituent requests. Clients include federal agencies and state/local governments.",VC-backed; Growth stage,JMI Equity strategic growth investment (Jan 2025; undisclosed amount); state and local workflow automation leader,simpligov.com,"Service Delivery,Procurement & Operations,Technology & Data,Domains","Service Design,Regulatory & Administrative Burden,Legacy Systems,Operational Excellence,Permitting & Licensing"
Syncurrent,GovTech,,"Federal,State,City","AI grant discovery and application platform for local and tribal governments, cutting months of manual work to minutes. Active in 200+ governments on a subscription model.",Earned Revenue,Subscription revenue plus enterprise agreements; VC-backed (early stage),syncurrent.com,"Procurement & Operations,Domains","Procurement Reform,Operational Excellence,Tax & Revenue"
Zencity,GovTech,,"State,City","AI-powered community insights platform helping local governments understand resident sentiment, measure service satisfaction, and make data-driven decisions. Acquired UK-based Commonplace. Used by 350+ cities including NYC, Phoenix, and Nashville.",VC-backed; Growth stage,"TLV Partners, M12 (Microsoft); $30M+ raised; 350+ city clients including NYC, Phoenix, Nashville",zencity.io,"Participatory Democracy,Test & Learn,Domains","Civic Engagement,Feedback Loops,AI in Government,Outcomes Measurement,Scaling What Works"
8VC (Joe Lonsdale),Investor,VC,"Federal,State,City","Venture firm with an explicit govtech and defense thesis, co-founded by Joe Lonsdale. Co-founded and backed OpenGov (acquired by Cox Enterprises for $1.8B in 2024).",Private,LP-funded VC; $6B+ AUM across multiple funds,8vc.com,"Procurement & Operations,Domains","Procurement Reform,AI in Government,Physical Infrastructure,Operational Excellence"
Advantage Capital / InState Partners,Investor,Impact Investing,"State,City","St. Louis-based impact investor whose InState Partners line (est. 2013) invests in govtech, pairing capital with a 50-state government affairs network to navigate procurement. First investor in PayIt; three-year strategic partnership with CivStart.",Private,Tax credit-driven funds + traditional LP capital; $4B+ total deployed; InState Partners is dedicated govtech line,advantagecap.com,"Procurement & Operations,Test & Learn,Technology & Data","Procurement Reform,Scaling What Works,Legacy Systems,Operational Excellence"
America's Frontier Fund,Investor,Advocacy,Federal,"Nonprofit strategic investment fund for frontier technologies (semiconductors, AI, quantum, advanced manufacturing) tied to US security and competitiveness. Led by Gilman Louie (former In-Q-Tel CEO), with Jennifer Pahlka on its board; DoD SBICCT partner.","Private, Philanthropy",Private capital; DoD SBICCT program; philanthropic contributions,americasfrontier.org,"Domains,Technology & Data,Procurement & Operations","AI in Government,Data Security,Procurement Reform"
Andreessen Horowitz,Investor,VC,"Federal,State,City","Major VC with govtech portfolio primarily through American Dynamism practice targeting defense and government technology startups. Notable govtech investments include OpenGov ($1.8B exit to Cox Enterprises, 2024), Flock Safety ($658M raised, $7.5B valuation), and Skydio. Govtech is a meaningful but not exclusive focus - defense and national security dominate the American Dynamism portfolio.",Private,LP-funded; $42B+ AUM; American Dynamism Fund dedicated to defense and government tech,a16z.com,"Procurement & Operations,Domains","Procurement Reform,AI in Government,Physical Infrastructure"
BarronKent Ventures,Investor,VC,"State,City","Sacramento-based family office and early-stage VC with an explicit govtech focus, founded by principals who ran a national govtech consulting firm for 18 years. Invests across HHS, transportation and tolling, licensing, and government finance systems; active in the CivStart ecosystem.",Private,Family office + LP-funded VC; undisclosed fund size; early to growth stage,barronkent.com,"Procurement & Operations,Technology & Data,Service Delivery,Domains","Procurement Reform,Legacy Systems,Benefits Access,Operational Excellence,Healthcare Access"
Blue Ridge Labs (Robin Hood Foundation),Investor,Impact Investing,City,Social impact venture studio within the Robin Hood Foundation that builds and funds early-stage startups serving low-income New Yorkers. Several portfolio companies work directly with NYC agencies on service delivery.,Philanthropy,Robin Hood Foundation,robinhood.org/our-work/blue-ridge-labs,"Service Delivery,Domains","Benefits Access,Economic Mobility"
BV Investment Partners,Investor,PE,"State,City",Boston-based middle-market PE firm with a deliberate govtech investment thesis. Made initial minority investment in CivicPlus in 2019 - a local government website and citizen engagement platform - scaling it before its $290M exit to Insight Partners in 2021. Government technology is a named sector focus alongside tech-enabled business services.,Private,LP-funded PE; ~$3.9B total invested since 1983; govtech is named sector focus,bvlp.com,"Technology & Data,Procurement & Operations,Participatory Democracy","Legacy Systems,Procurement Reform,Civic Engagement"
Commonweal Ventures,Investor,VC,"Federal,State,City","Early-stage VC fund investing in technology companies serving government customers with a focus on public safety and state/local government. Portfolio includes Multitude Insights (law enforcement collaboration tools), Deckard Technologies (AI-driven municipal tax compliance), and others serving SLED markets. Participated in Starbridge Series A (2025).",Private,LP-funded VC; undisclosed fund size; seed and early-stage focus on public safety and govtech,commonwealventures.com,"Domains,Procurement & Operations","Criminal Justice,AI in Government,Tax & Revenue,Operational Excellence"
Govtech Fund (Ron Bouganim),Investor,VC,"Federal,State,City","First VC fund dedicated to govtech, founded by Ron Bouganim; makes $250K-$500K seed investments in companies selling to government (~$50M across two funds). Portfolio includes Mark43, SeamlessDocs/GovOS, SmartProcure, and Merit.",Private,LP-funded VC; ~$50M AUM across two funds; seed stage ($250K-$500K checks),govtechfund.com,"Procurement & Operations,Technology & Data,Domains","Procurement Reform,Legacy Systems,Criminal Justice,Operational Excellence"
Govtech Ventures (Rachel Stern),Investor,VC,"State,City","Early-stage VC fund (est. 2024) dedicated to state and local government, founded by Rachel Stern, first investor in PayIt and co-founder of InState Partners. Inaugural fund targets $15M at pre-seed through seed-plus; portfolio includes Polco, Streamline, and Ladris.",Private,LP-funded VC; ~$15M inaugural fund (fundraising 2024-2025); pre-seed to seed-plus stage,govtechventures.com,"Procurement & Operations,Service Delivery","Procurement Reform,Service Design"
Great Hill Partners,Investor,PE,"State,City","Boston-based PE firm with a deliberate govtech strategy, sourcing deals with Granicus co-founder Tom Spengler as Executive-in-Residence. Led the 2025 majority recapitalization of Vision Government Solutions (property tax software, 900+ jurisdictions) with Weatherford Capital.",Private,LP-funded PE; $12B+ total capital raised across funds; govtech is named vertical,greathillpartners.com,"Domains,Technology & Data,Procurement & Operations","Tax & Revenue,Legacy Systems,Operational Excellence"
IQT (In-Q-Tel),Investor,VC,Federal,"Strategic investor for the US intelligence community, founded by the CIA in 1999. Invests in commercial AI, cybersecurity, data analytics, and quantum companies to bring their capabilities to national security agencies.",Government,CIA and US intelligence community funding,iqt.org,"Technology & Data,Domains,Procurement & Operations","Data Security,AI in Government,Procurement Reform"
J2 Ventures,Investor,VC,Federal,Defense and national security-focused venture fund investing in software and technology for government and defense agencies. Government is the explicit primary customer. Part of the emerging defense tech VC ecosystem alongside IQT and Paladin.,Private,Limited partner capital,j2vc.com,"Technology & Data,Domains","Data Security,AI in Government"
JFF Ventures,Investor,VC,"Federal,State,City","Impact venture arm of Jobs for the Future, investing in workforce and education technology where public workforce programs (WIOA, Perkins) are often the primary customer. Links JFF's policy and research work to technology investment.","Private, Philanthropy",JFF institutional capital; impact-focused LPs,jffventures.org,"Talent & Hiring,Domains,Service Delivery,Test & Learn","Workforce Development,Economic Mobility,Benefits Access,Outcomes Measurement"
Kapor Capital,Investor,VC,"Federal,State,City",Oakland-based early-stage VC (est. 1999) investing in startups that close access gaps for low-income communities and communities of color. Govtech investments include Promise and Aclima; $224M+ AUM.,Private,LP-funded VC; $224M+ AUM; Kapor Capital Fund III; seed stage focus,kaporcapital.com,"Service Delivery,Domains","Benefits Access,Economic Mobility,Criminal Justice"
Omidyar Network,Investor,Impact Investing,"Federal,State,City","Philanthropic investment firm making grants and equity investments in responsible technology and governance, with $2B+ deployed to 700+ organizations. Funds TechCongress; spun out Luminate as a separate grantmaking entity.",Private,Pierre and Pam Omidyar personal capital; ~$2B deployed across grants and equity investments,omidyar.com,"Participatory Democracy,Procurement & Operations,Domains,Technology & Data","Transparency & Accountability,Reaction Time,Democracy Infrastructure,AI in Government,Data Security"
Paladin Capital Group,Investor,PE,"Federal,State,City","Washington DC-based VC investing in cybersecurity and critical infrastructure protection companies whose primary customers are government and defense, including DHS, DoD, and civilian agencies.",Private,Limited partner capital,paladincapgroup.com,"Technology & Data,Domains","Data Security,Physical Infrastructure,AI in Government"
Serent Capital,Investor,PE,"State,City","Growth-focused PE firm with a dedicated GovTech investment team. Five govtech platform investments in four years including BS&A Software (municipal ERP, acquired 2021), First Due (fire and EMS software), GovWorx (911 quality assurance), and Pondera Solutions (fraud detection for government benefits, exited to Thomson Reuters). Targets profitable, recurring-revenue cloud SaaS companies selling to state and local agencies.",Private,LP-funded PE; multiple funds since 2008; $3B+ total capital under management,serentcapital.com,"Technology & Data,Domains,Procurement & Operations","Legacy Systems,Tax & Revenue,Crisis Response,Operational Excellence"
Socium Ventures,Investor,VC,"State,City","Evergreen venture fund backed by Cox Enterprises, with $600M+ committed across two funds. Govtech investments include Carbyne (911 platform, acquired by Axon for $625M in Nov 2025); parent Cox acquired OpenGov in 2024.",Private,Cox Enterprises-backed evergreen fund; $300M Fund II (Oct 2024); $600M+ total committed,sociumventures.com,"Domains,Procurement & Operations","Crisis Response,Physical Infrastructure,Operational Excellence"
Town Hall Ventures,Investor,VC,"Federal,State","Venture fund explicitly focused on health and human services technology where government is the primary paying customer. Invests in companies serving Medicaid, Medicare, SNAP, and other public benefit programs. Key investor node for benefits delivery, health equity, and government health program modernization problem statements.",Private,Limited partner capital,townhallventures.com,"Domains,Service Delivery,Test & Learn","Healthcare Access,Benefits Access,AI in Government,Outcomes Measurement"
Weatherford Capital (Will Weatherford),Investor,Family Office,"State,City","Family-owned PE firm founded in 2015 by former Florida House Speaker Will Weatherford. Seven govtech platform investments, including PayIt, OpenGov (sold to Cox for $1.8B in 2024), SOMA Global, and BusPatrol; closed a $300M Fund II in 2025.",Private,Family-owned PE; $300M Fund II closed 2025; $1B+ AUM across two funds,weatherfordcapital.com,"Domains,Technology & Data,Procurement & Operations","Tax & Revenue,Permitting & Licensing,Legacy Systems,Operational Excellence,Criminal Justice"
